NOM_ABREV_ORGAO;SGL_UF;NOM_LOCALIDADE;COD_TIPO_AUTOR;UO__Cod_;NOM_ABREV_UNID_ORCA;COD_AUTOR;COD_EMENDA;NOM_AUTOR;SGL_PARTIDO;FUNCPROG;SALDO;UF_AUTOR;Título;200;270;410;420;510
M. da Educação;CE;Fortaleza;01;26233;UFCE;3258;32580020;José Pimentel;PT;12.364.1073.6368.0086;50000;CE;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Faculdade de Direito - Fortaleza - CE;50000;50000;0;0;0
M. da Educação;CE;Fortaleza;01;26298;FNDE;1240;12400020;João Alfredo;PT;12.361.1376.0E01.0092;700000;CE;Apoio ao Desenvolvimento do Ensino Fundamental - Construção de Escolas - Fortaleza-CE;700000;700000;700000;0;0
M. da Educação;CE;Iguatu;01;26101;M. da Educação;1240;12400009;João Alfredo;PT;12.364.1073.0048.0284;100000;CE;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - Iguatu - CE;100000;100000;0;0;0
M. da Educação;CE;Itaiçaba;02;26298;FNDE;2025;20250012;Tasso Jereissati;PSDB;12.366.1060.0507.0052;200000;CE;Apoio a Projetos Especiais para Oferta de Educação Básica a Jovens e Adultos - Itaiçaba-CE;200000;200000;0;0;0
M. da Educação;CE;Itapipoca;01;26101;M. da Educação;3226;32260015;Inácio Arruda;PC DO B;12.364.1073.0048.0370;150000;CE;APOIO A ENTIDADES DE ENSINO SUPERIOR NÃO FEDERAIS - Aparelhamento da Biblioteca da UECE/FACEDI - Itapipoca-CE;150000;150000;0;0;0
M. da Educação;CE;Maracanaú;01;26206;CEFET - CE;3258;32580018;José Pimentel;PT;12.363.1062.1E24.0004;100000;CE;Implantação de Campus do CEFET do Ceará - Construção da 1ª Etapa do Campus em Maracanaú - CE;600000;600000;0;0;0
M. da Educação;CE;Maracanaú;01;26206;CEFET - CE;3340;33400002;Roberto Pessoa;PL;12.363.1062.1E24.0004;500000;CE;Implantação de Campus do CEFET do Ceará - Construção da 1ª Etapa do Campus em Maracanaú - CE;600000;600000;0;0;0
M. da Educação;CE;Reriutaba;01;26298;FNDE;1240;12400006;João Alfredo;PT;12.361.1376.0E01.0094;100000;CE;Apoio ao Desenvolvimento do Ensino Fundamental - Contrução de Escola em Reriutaba-CE;100000;100000;0;0;0
M. da Educação;CO;Região Centro Oeste;04;26101;M. da Educação;4103;41030002;Bancada da Regiao Centro-Oeste;S/PARTIDO;12.364.1073.6373.0196;5188800;CO;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - na Região Centro Oeste (FUFMT e FUFMS);5188800;5188800;0;0;0
M. da Educação;DF;Brasília;01;26271;Fund. Univ. de Brasília;1563;15630009;Enéas;PRONA;12.302.1073.6379.0028;100000;DF;Complementação para o Funcionamento dos Hospitais de Ensino Federais - Hospital da Universidade de Brasília - UNB - Brasília - DF;100000;100000;0;0;0
M. da Educação;DF;Brasília;01;26271;Fund. Univ. de Brasília;3611;36110019;Luiza Erundina;PSB;12.571.0461.8667.0002;250000;DF;Pesquisa Universitária e Difusão de seus Resultados - Núcleo de Estudos de Saúde Pública - Brasília-DF;250000;250000;0;0;0
M. da Educação;DF;Brasília;02;26298;FNDE;2069;20690002;Cristovam Buarque;PT;12.366.1060.0507.0054;200000;DF;Apoio a Projetos Especiais para Oferta de Educação Básica a Jovens e Adultos - Associação Nacional de Cooperação Agrícola - Brasília-DF;200000;200000;200000;0;0
M. da Educação;DF;Distrito Federal;01;26271;Fund. Univ. de Brasília;1121;11210004;Wasny de Roure;PT;12.364.1073.1E80.0002;340000;DF;Implantação do Museu de Ciência e Tecnologia de Brasília - Distrito Federal;340000;340000;0;0;0
M. da Educação;DF;Distrito Federal;02;26271;Fund. Univ. de Brasília;2040;20400016;Geraldo Mesquita Júnior;PSB;12.364.1073.6368.0122;130000;DF;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Distrito Federal;630000;630000;0;0;0
